start in 1
0 -> 1 27
0 -> 2 33
0 -> 3 20
0 -> 4 32
0 -> 5 55
0 -> 6 6
0 -> 7 64
0 -> 8 5
0 -> 9 28
0 -> 10 54
0 -> 11 78
0 -> 12 37
1 -> 2 73
1 -> 3 10
1 -> 4 21
1 -> 5 23
1 -> 6 66
1 -> 7 15
1 -> 8 58
1 -> 9 59
1 -> 10 45
1 -> 11 26
1 -> 12 17
2 -> 3 76
2 -> 4 19
2 -> 5 65
2 -> 6 30
2 -> 7 43
2 -> 8 75
2 -> 9 74
2 -> 10 8
2 -> 11 34
2 -> 12 12
3 -> 4 53
3 -> 5 72
3 -> 6 35
3 -> 7 41
3 -> 8 14
3 -> 9 51
3 -> 10 24
3 -> 11 60
3 -> 12 11
4 -> 5 18
4 -> 6 7
4 -> 7 13
4 -> 8 31
4 -> 9 47
4 -> 10 2
4 -> 11 61
4 -> 12 40
5 -> 6 38
5 -> 7 16
5 -> 8 9
5 -> 9 62
5 -> 10 39
5 -> 11 3
5 -> 12 25
6 -> 7 77
6 -> 8 67
6 -> 9 49
6 -> 10 44
6 -> 11 1
6 -> 12 69
7 -> 8 46
7 -> 9 63
7 -> 10 42
7 -> 11 22
7 -> 12 50
8 -> 9 29
8 -> 10 52
8 -> 11 71
8 -> 12 56
9 -> 10 57
9 -> 11 68
9 -> 12 48
10 -> 11 36
10 -> 12 70
11 -> 12 4
